alpha,Ma,V,rho,T,CA,CN,Cm
18.0,21.11,4600,9.331E-04,176.4,1.464E+00,6.325E-02,-4.229E-02
18.0,22.31,4800,7.430E-04,172.1,1.464E+00,6.353E-02,-4.244E-02
18.0,23.66,5000,5.520E-04,166.0,1.463E+00,6.373E-02,-4.249E-02
18.0,25.27,5200,3.448E-04,157.3,1.462E+00,6.399E-02,-4.245E-02
18.0,27.21,5400,1.153E-04,146.4,1.461E+00,6.479E-02,-4.201E-02
20.0,8.86,2000,3.483E-03,189.4,1.402E+00,6.385E-02,-4.268E-02
20.0,10.63,2400,3.168E-03,189.4,1.405E+00,6.517E-02,-4.356E-02
20.0,16.06,3600,1.926E-03,186.8,1.422E+00,6.904E-02,-4.636E-02
20.0,17.00,3800,1.723E-03,185.8,1.423E+00,6.968E-02,-4.684E-02
20.0,17.98,4000,1.517E-03,184.0,1.423E+00,7.022E-02,-4.723E-02
20.0,18.98,4200,1.312E-03,182.0,1.424E+00,7.067E-02,-4.754E-02
20.0,20.01,4400,1.117E-03,179.8,1.424E+00,7.107E-02,-4.781E-02
20.0,21.11,4600,9.331E-04,176.4,1.424E+00,7.143E-02,-4.803E-02
20.0,22.31,4800,7.430E-04,172.1,1.423E+00,7.173E-02,-4.821E-02
20.0,23.66,5000,5.520E-04,166.0,1.423E+00,7.194E-02,-4.825E-02
20.0,25.27,5200,3.448E-04,157.3,1.422E+00,7.225E-02,-4.824E-02
20.0,27.21,5400,1.153E-04,146.4,1.420E+00,7.319E-02,-4.787E-02
24.0,8.86,2000,3.483E-03,189.4,1.318E+00,8.033E-02,-5.412E-02
24.0,10.63,2400,3.168E-03,189.4,1.320E+00,8.168E-02,-5.501E-02
24.0,16.06,3600,1.926E-03,186.8,1.337E+00,8.542E-02,-5.760E-02
24.0,17.00,3800,1.723E-03,185.8,1.338E+00,8.597E-02,-5.803E-02
24.0,17.98,4000,1.517E-03,184.0,1.339E+00,8.651E-02,-5.843E-02
24.0,18.98,4200,1.312E-03,182.0,1.339E+00,8.699E-02,-5.877E-02
24.0,20.01,4400,1.117E-03,179.8,1.339E+00,8.743E-02,-5.909E-02
24.0,21.11,4600,9.331E-04,176.4,1.338E+00,8.778E-02,-5.933E-02
24.0,22.31,4800,7.430E-04,172.1,1.338E+00,8.814E-02,-5.953E-02
24.0,23.66,5000,5.520E-04,166.0,1.337E+00,8.836E-02,-5.956E-02
24.0,25.27,5200,3.448E-04,157.3,1.336E+00,8.871E-02,-5.953E-02
24.0,27.21,5400,1.153E-04,146.4,1.334E+00,8.990E-02,-5.922E-02
