##########################################################################################
### MCD_v5.3 with climatology average solar scenario.
### Ls 201.6deg. Altitude 0.0 m ALS. Local time 0.0h (at longitude 0) 
### --------------------------------------------------------------------------------------
### Column 1 is East longitude (degrees)
### Columns 2+ are Temperature (K)
### Line 1 is North latitude (degrees)
### --------------------------------------------------------------------------------------
### Retrieved on: 2022-04-03T03:08:16.362564
### Mars Climate Database (c) LMD/OU/IAA/ESA/CNES
##########################################################################################
---- ||   -9.00000e+01   -8.61702e+01   -8.23404e+01   -7.85106e+01   -7.46809e+01   -7.08511e+01   -6.70213e+01   -6.31915e+01   -5.93617e+01   -5.55319e+01   -5.17021e+01   -4.78723e+01   -4.40426e+01   -4.02128e+01   -3.63830e+01   -3.25532e+01   -2.87234e+01   -2.48936e+01   -2.10638e+01   -1.72340e+01   -1.34043e+01   -9.57447e+00   -5.74468e+00   -1.91489e+00    1.91489e+00    5.74468e+00    9.57447e+00    1.34043e+01    1.72340e+01    2.10638e+01    2.48936e+01    2.87234e+01    3.25532e+01    3.63830e+01    4.02128e+01    4.40426e+01    4.78723e+01    5.17021e+01    5.55319e+01    5.93617e+01    6.31915e+01    6.70213e+01    7.08511e+01    7.46809e+01    7.85106e+01    8.23404e+01    8.61702e+01    9.00000e+01
-----------------------------------
-134 ||    1.44106e+02    1.44825e+02    1.45091e+02    1.45523e+02    1.45843e+02    1.46819e+02    1.57038e+02    1.70676e+02    2.01619e+02    2.46952e+02    2.56309e+02    2.64456e+02    2.71664e+02    2.77673e+02    2.81699e+02    2.80748e+02    2.79145e+02    2.80466e+02    2.81626e+02    2.82427e+02    2.83171e+02    2.82870e+02    2.81957e+02    2.80962e+02    2.80007e+02    2.79138e+02    2.77655e+02    2.74217e+02    2.69914e+02    2.66119e+02    2.63990e+02    2.61432e+02    2.56729e+02    2.51245e+02    2.45576e+02    2.38785e+02    2.29852e+02    2.21278e+02    2.13333e+02    2.05194e+02    1.94851e+02    1.84616e+02    1.76211e+02    1.69267e+02    1.60426e+02    1.56487e+02    1.49986e+02    1.47964e+02
-128 ||    1.44106e+02    1.44870e+02    1.45169e+02    1.45671e+02    1.46003e+02    1.47097e+02    1.57500e+02    1.73784e+02    2.03012e+02    2.43934e+02    2.53762e+02    2.61489e+02    2.67634e+02    2.72667e+02    2.76077e+02    2.76088e+02    2.75272e+02    2.75520e+02    2.76082e+02    2.76358e+02    2.76043e+02    2.75440e+02    2.74594e+02    2.73726e+02    2.72987e+02    2.71920e+02    2.70125e+02    2.68746e+02    2.65816e+02    2.61813e+02    2.57321e+02    2.53165e+02    2.49038e+02    2.44450e+02    2.39057e+02    2.32678e+02    2.25189e+02    2.17524e+02    2.09344e+02    2.01291e+02    1.92279e+02    1.82907e+02    1.75050e+02    1.66386e+02    1.62441e+02    1.55080e+02    1.50036e+02    1.47964e+02
-122 ||    1.44106e+02    1.44946e+02    1.45215e+02    1.45865e+02    1.46042e+02    1.46999e+02    1.56968e+02    1.73429e+02    2.02928e+02    2.40491e+02    2.50519e+02    2.58381e+02    2.63375e+02    2.67587e+02    2.69640e+02    2.69393e+02    2.70142e+02    2.70277e+02    2.69557e+02    2.68493e+02    2.67812e+02    2.67779e+02    2.66642e+02    2.65087e+02    2.64263e+02    2.63024e+02    2.61531e+02    2.60100e+02    2.57600e+02    2.53884e+02    2.49570e+02    2.45669e+02    2.41333e+02    2.35953e+02    2.30254e+02    2.25096e+02    2.19568e+02    2.13034e+02    2.04839e+02    1.97376e+02    1.89690e+02    1.80780e+02    1.73725e+02    1.68186e+02    1.60294e+02    1.54888e+02    1.50038e+02    1.47964e+02
-117 ||    1.44106e+02    1.45111e+02    1.45276e+02    1.45823e+02    1.46003e+02    1.46963e+02    1.57383e+02    1.73271e+02    2.01316e+02    2.36934e+02    2.46364e+02    2.53674e+02    2.58372e+02    2.61597e+02    2.63028e+02    2.63211e+02    2.64037e+02    2.64580e+02    2.63829e+02    2.61950e+02    2.61081e+02    2.60845e+02    2.58555e+02    2.56132e+02    2.55114e+02    2.54446e+02    2.53047e+02    2.50530e+02    2.47414e+02    2.44326e+02    2.40562e+02    2.36439e+02    2.31557e+02    2.25443e+02    2.19807e+02    2.16640e+02    2.13237e+02    2.07869e+02    2.00113e+02    1.93353e+02    1.86875e+02    1.78970e+02    1.72773e+02    1.67475e+02    1.62050e+02    1.54632e+02    1.49845e+02    1.47964e+02
-111 ||    1.44106e+02    1.45096e+02    1.45319e+02    1.45826e+02    1.45917e+02    1.47111e+02    1.58808e+02    1.72452e+02    1.97717e+02    2.33391e+02    2.42747e+02    2.49097e+02    2.53460e+02    2.55815e+02    2.56466e+02    2.56659e+02    2.57548e+02    2.58175e+02    2.57846e+02    2.56534e+02    2.55260e+02    2.52834e+02    2.49249e+02    2.46440e+02    2.44221e+02    2.42846e+02    2.41398e+02    2.39311e+02    2.36675e+02    2.33823e+02    2.30315e+02    2.25955e+02    2.20830e+02    2.15046e+02    2.09541e+02    2.06685e+02    2.05401e+02    2.01862e+02    1.95265e+02    1.89204e+02    1.83664e+02    1.76910e+02    1.71354e+02    1.66510e+02    1.60210e+02    1.54207e+02    1.49654e+02    1.47964e+02
-105 ||    1.44106e+02    1.45023e+02    1.45320e+02    1.45834e+02    1.45973e+02    1.47106e+02    1.58183e+02    1.71831e+02    1.97241e+02    2.30217e+02    2.38777e+02    2.44228e+02    2.48453e+02    2.50132e+02    2.49293e+02    2.49137e+02    2.50712e+02    2.52004e+02    2.50992e+02    2.49985e+02    2.48306e+02    2.42776e+02    2.37162e+02    2.34846e+02    2.33294e+02    2.31391e+02    2.28671e+02    2.26350e+02    2.24266e+02    2.21855e+02    2.18787e+02    2.14519e+02    2.10294e+02    2.05451e+02    2.00073e+02    1.96796e+02    1.96885e+02    1.95772e+02    1.90796e+02    1.84851e+02    1.80437e+02    1.74424e+02    1.69546e+02    1.64647e+02    1.61863e+02    1.53997e+02    1.49487e+02    1.47964e+02
-100 ||    1.44106e+02    1.45008e+02    1.45297e+02    1.45827e+02    1.45969e+02    1.47038e+02    1.56869e+02    1.70704e+02    1.98468e+02    2.27134e+02    2.33806e+02    2.38354e+02    2.41336e+02    2.41643e+02    2.41677e+02    2.42499e+02    2.44119e+02    2.46023e+02    2.45128e+02    2.42627e+02    2.37656e+02    2.30247e+02    2.24774e+02    2.21257e+02    2.20035e+02    2.18720e+02    2.16388e+02    2.13564e+02    2.11126e+02    2.08461e+02    2.05516e+02    2.01450e+02    1.97416e+02    1.94011e+02    1.89532e+02    1.88201e+02    1.90353e+02    1.90268e+02    1.86969e+02    1.81544e+02    1.77938e+02    1.72973e+02    1.68372e+02    1.64174e+02    1.61600e+02    1.53778e+02    1.49351e+02    1.47964e+02
-094 ||    1.44106e+02    1.45014e+02    1.45233e+02    1.45708e+02    1.45954e+02    1.47042e+02    1.55878e+02    1.68589e+02    1.94016e+02    2.22677e+02    2.28694e+02    2.32206e+02    2.32950e+02    2.32638e+02    2.35153e+02    2.38812e+02    2.41427e+02    2.42513e+02    2.40171e+02    2.36849e+02    2.33616e+02    2.28988e+02    2.20382e+02    2.10492e+02    2.06201e+02    2.04856e+02    2.03667e+02    2.02143e+02    1.99790e+02    1.96978e+02    1.93751e+02    1.89700e+02    1.85255e+02    1.81649e+02    1.79456e+02    1.82608e+02    1.86602e+02    1.86436e+02    1.84357e+02    1.81371e+02    1.77426e+02    1.72234e+02    1.67226e+02    1.62526e+02    1.61145e+02    1.53808e+02    1.49358e+02    1.47964e+02
-088 ||    1.44106e+02    1.44963e+02    1.45259e+02    1.45550e+02    1.45913e+02    1.47184e+02    1.55592e+02    1.67130e+02    1.90150e+02    2.17198e+02    2.23498e+02    2.27135e+02    2.27267e+02    2.26825e+02    2.28859e+02    2.32689e+02    2.35592e+02    2.37097e+02    2.35204e+02    2.31714e+02    2.28595e+02    2.26958e+02    2.21097e+02    2.08155e+02    1.99555e+02    1.96365e+02    1.95187e+02    1.93963e+02    1.91980e+02    1.89688e+02    1.86045e+02    1.81450e+02    1.77537e+02    1.74364e+02    1.75034e+02    1.81056e+02    1.84708e+02    1.85487e+02    1.83858e+02    1.81986e+02    1.77514e+02    1.71774e+02    1.65988e+02    1.61138e+02    1.60694e+02    1.53961e+02    1.49337e+02    1.47964e+02
-082 ||    1.44106e+02    1.44913e+02    1.45375e+02    1.45500e+02    1.45846e+02    1.47200e+02    1.55022e+02    1.65257e+02    1.85497e+02    2.12183e+02    2.18593e+02    2.21857e+02    2.22713e+02    2.22582e+02    2.22745e+02    2.26304e+02    2.29575e+02    2.31563e+02    2.30388e+02    2.27021e+02    2.23640e+02    2.22911e+02    2.16596e+02    2.07746e+02    2.01490e+02    1.93926e+02    1.92226e+02    1.91095e+02    1.88721e+02    1.85915e+02    1.81648e+02    1.76569e+02    1.72502e+02    1.69767e+02    1.70327e+02    1.78209e+02    1.85022e+02    1.86982e+02    1.84021e+02    1.81797e+02    1.77158e+02    1.71347e+02    1.65640e+02    1.60659e+02    1.60498e+02    1.53923e+02    1.49333e+02    1.47964e+02
